MaterialID,DefaultReceiptLocation,DefaultIssueLocation
1948,L1,L1
1949,L1,L1
1950,L1,L1
2783,L1,L1
1951,L1,L1
2784,L1,L1
1952,L1,L1
2785,L1,L1
2786,L1,L1
1953,L1,L1
1954,L1,L1
2787,L1,L1
1955,L1,L1
2788,L1,L1
2789,L1,L1
2790,L1,L1
2791,L1,L1
1956,L1,L1
1957,L1,L1
2792,L1,L1
1958,L1,L1
1959,L1,L1
1960,L1,L1
1961,L1,L1
2793,L1,L1
1962,L1,L1
2794,L1,L1
1963,L1,L1
2795,L1,L1
1964,L1,L1
1965,L1,L1
1966,L1,L1
2470,L1,L1
2287,L1,L1
1967,L1,L1
2796,L1,L1
2797,L1,L1
2798,L1,L1
1968,L1,L1
2799,L1,L1
1969,L1,L1
2355,L1,L1
1970,L1,L1
2565,L1,L1
2800,L1,L1
1971,L1,L1
2801,L1,L1
2802,L1,L1
2530,L1,L1
2542,L1,L1
1972,L1,L1
2288,L1,L1
1973,L1,L1
1974,L1,L1
1975,L1,L1
2472,L1,L1
2473,L1,L1
2471,L1,L1
2803,L1,L1
2804,L1,L1
2805,L1,L1
2806,L1,L1
2807,L1,L1
2469,L1,L1
1976,L1,L1
1628,L1,L1
2535,L1,L1
1977,L1,L1
1978,L1,L1
1979,L1,L1
1980,L1,L1
1981,L1,L1
1982,L1,L1
1983,L1,L1
1984,L1,L1
2645,L1,L1
1985,L1,L1
1986,L1,L1
1987,L1,L1
1988,L1,L1
1989,L1,L1
4098,L1,L1
2808,L1,L1
1990,L1,L1
1991,L1,L1
2809,L1,L1
2810,L1,L1
2811,L1,L1
2812,L1,L1
2813,L1,L1
2814,L1,L1
2215,L1,L1
1015,L1,L1
2214,L1,L1
1877,L1,L1
1876,L1,L1
1666,L1,L1
2247,L1,L1
2178,L1,L1
2180,L1,L1
2175,L1,L1
2246,L1,L1
2172,L1,L1
1878,L1,L1
2171,L1,L1
2174,L1,L1
1865,L1,L1
1866,L1,L1
1658,L1,L1
1009,L1,L1
1368,L1,L1
1992,L1,L1
1993,L1,L1
2815,L1,L1
2653,L1,L1
1994,L1,L1
2816,L1,L1
2817,L1,L1
2818,L1,L1
1995,L1,L1
1996,L1,L1
2819,L1,L1
2820,L1,L1
1997,L1,L1
2821,L1,L1
1998,L1,L1
2822,L1,L1
1999,L1,L1
1380,L1,L1
2823,L1,L1
2000,L1,L1
2824,L1,L1
2825,L1,L1
2826,L1,L1
2001,L1,L1
2002,L1,L1
2827,L1,L1
2003,L1,L1
1723,L1,L1
1040,L1,L1
1377,L1,L1
1008,L1,L1
1630,L1,L1
1045,L1,L1
1055,L1,L1
1004,L1,L1
1801,L1,L1
1672,L1,L1
2828,L1,L1
2829,L1,L1
2830,L1,L1
2831,L1,L1
2004,L1,L1
2832,L1,L1
2833,L1,L1
2834,L1,L1
2624,L1,L1
2255,L1,L1
1386,L1,L1
1881,L1,L1
2212,L1,L1
2835,L1,L1
2836,L1,L1
2837,L1,L1
2005,L1,L1
2838,L1,L1
2006,L1,L1
2839,L1,L1
2007,L1,L1
2008,L1,L1
2009,L1,L1
2840,L1,L1
2010,L1,L1
2841,L1,L1
2011,L1,L1
2842,L1,L1
2012,L1,L1
2013,L1,L1
1076,L1,L1
2014,L1,L1
1381,L1,L1
2015,L1,L1
2843,L1,L1
2844,L1,L1
2845,L1,L1
1657,L1,L1
2846,L1,L1
2847,L1,L1
2016,L1,L1
2017,L1,L1
2848,L1,L1
2018,L1,L1
2019,L1,L1
2849,L1,L1
2850,L1,L1
2851,L1,L1
2020,L1,L1
